,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
age,1.0,-0.09496248821055978,-0.06310658565720646,0.28312067898080434,0.2072155056561178,0.11949212756870446,-0.11159006011822413,-0.3952351875534809,0.09321584624212102,0.20603963750076162,-0.16412423366806822,0.30226120969724174,0.06531728846138724,-0.2214758277665632
sex,-0.09496248821055978,1.0,-0.05173952220794347,-0.057646940072901616,-0.1955714449054789,0.046022180812817406,-0.060350509064077594,-0.046438662712299884,0.14346012013070691,0.09832173325423298,-0.03298963307429071,0.11306039137632619,0.21145220080372443,-0.28360935779586244
cp,-0.06310658565720646,-0.05173952220794347,1.0,0.04648642405741093,-0.07268160815675583,0.09601810378887686,0.0415609994687958,0.2933665820060729,-0.3929373743580725,-0.14669224707212516,0.11685419420886575,-0.19535634467105176,-0.1603696343592772,0.4320795915664076
trestbps,0.28312067898080434,-0.057646940072901616,0.04648642405741093,1.0,0.12525628555536686,0.1781246924622795,-0.11536655568205441,-0.048022712031585736,0.06852626475958758,0.1945999503128808,-0.12287292844741415,0.09924834090336425,0.06286958227116786,-0.1462686638415544
chol,0.2072155056561178,-0.1955714449054789,-0.07268160815675583,0.12525628555536686,1.0,0.011428296514525541,-0.14760177169976565,-0.005308495794754931,0.06409889953538109,0.050086024023738865,0.000416658293245955,0.08687793662520914,0.09681044601826995,-0.08143720051844129
fbs,0.11949212756870446,0.046022180812817406,0.09601810378887686,0.1781246924622795,0.011428296514525541,1.0,-0.08308108054367731,-0.007169289834638311,0.024728792784459754,0.004514274973532866,-0.058653541394914625,0.14493474913217871,-0.03275238137304714,-0.026825970565970397
restecg,-0.11159006011822413,-0.060350509064077594,0.0415609994687958,-0.11536655568205441,-0.14760177169976565,-0.08308108054367731,1.0,0.04120980826286058,-0.06880655307680582,-0.056250713595255936,0.09040215246954555,-0.08311244328643051,-0.010473170948873472,0.1348744470286471
thalach,-0.3952351875534809,-0.046438662712299884,0.2933665820060729,-0.048022712031585736,-0.005308495794754931,-0.007169289834638311,0.04120980826286058,1.0,-0.3774114488412383,-0.3422007459247005,0.38475438059767736,-0.2283110828854547,-0.09490993600291675,0.41995504366386893
exang,0.09321584624212102,0.14346012013070691,-0.3929373743580725,0.06852626475958758,0.06409889953538109,0.024728792784459754,-0.06880655307680582,-0.3774114488412383,1.0,0.2867663364924335,-0.2561062438300406,0.1253771017635063,0.20582565983635143,-0.4356007617136187
oldpeak,0.20603963750076162,0.09832173325423298,-0.14669224707212516,0.1945999503128808,0.050086024023738865,0.004514274973532866,-0.056250713595255936,-0.3422007459247005,0.2867663364924335,1.0,-0.5763143815309939,0.23656044177478658,0.2090904909004058,-0.42914583288673813
slope,-0.16412423366806822,-0.03298963307429071,0.11685419420886575,-0.12287292844741415,0.000416658293245955,-0.058653541394914625,0.09040215246954555,0.38475438059767736,-0.2561062438300406,-0.5763143815309939,1.0,-0.09223636675937119,-0.10331366531177844,0.34393953248938713
ca,0.30226120969724174,0.11306039137632619,-0.19535634467105176,0.09924834090336425,0.08687793662520914,0.14493474913217871,-0.08311244328643051,-0.2283110828854547,0.1253771017635063,0.23656044177478658,-0.09223636675937119,1.0,0.1600854283264376,-0.4089919797569265
thal,0.06531728846138724,0.21145220080372443,-0.1603696343592772,0.06286958227116786,0.09681044601826995,-0.03275238137304714,-0.010473170948873472,-0.09490993600291675,0.20582565983635143,0.2090904909004058,-0.10331366531177844,0.1600854283264376,1.0,-0.34310071238956547
target,-0.2214758277665632,-0.28360935779586244,0.4320795915664076,-0.1462686638415544,-0.08143720051844129,-0.026825970565970397,0.1348744470286471,0.41995504366386893,-0.4356007617136187,-0.42914583288673813,0.34393953248938713,-0.4089919797569265,-0.34310071238956547,1.0
